// Converted from SA to VC by Timecyc Workshop
22 22 22 220 212 130 22 22 22 220 212 130 255 255 255 0 23 24 0 31 32 255 128 0 5 0 0 1 1 0 200 100 0 400 100 1 30 20 0 3 3 3 0 0 0 0 0 0 85 85 65 240
0 20 20 210 194 182 0 20 20 210 194 182 255 255 255 5 12 15 12 14 13 255 128 0 5 0 0 1 0 0 200 100 0 800 100 1 0 0 0 3 3 3 0 0 0 0 0 0 85 85 65 240
33 33 33 249 244 235 33 33 33 249 244 235 255 255 255 19 14 19 6 6 17 255 128 0 5 0 0 1 0 0 200 102 0 800 100 1 30 20 0 3 3 3 0 0 0 0 0 0 85 85 65 240
33 33 33 210 188 166 33 33 33 210 188 166 255 255 255 22 5 12 13 13 31 255 128 0 5 0 0 1 0 0 200 100 0 800 155 1 30 20 0 3 3 3 0 0 0 0 0 0 85 85 65 240
10 30 30 157 176 208 10 30 30 157 176 208 255 255 255 10 10 10 10 23 33 10 10 0 10 0 0 1 1 0 200 100 0 700 79 1 30 20 0 23 28 30 0 0 0 0 0 0 55 55 66 240
20 30 30 133 133 133 20 30 30 133 133 133 255 255 255 0 8 12 10 36 65 255 128 0 5 0 0 1 0 0 200 100 0 450 100 1 30 20 0 3 3 3 0 0 0 0 0 0 19 40 52 240
20 30 30 133 133 133 20 30 30 133 133 133 255 255 255 10 36 65 10 36 65 255 128 0 5 0 0 1 0 0 200 100 0 450 100 1 30 20 0 3 3 3 0 0 0 0 0 0 19 40 52 240
30 30 30 108 108 101 30 30 30 108 108 101 255 255 255 11 11 11 11 11 11 10 10 0 10 0 0 1 1 1 200 100 0 1150 -22 1 30 20 0 23 28 30 0 0 0 0 0 0 55 55 66 240
20 30 30 135 173 197 20 30 30 135 173 197 255 255 255 10 10 10 20 20 20 0 0 0 0 0 0 1 1 0 200 100 0 650 5 1 30 20 0 0 0 0 0 0 0 0 0 0 59 68 77 240
33 33 33 141 141 141 33 33 33 141 141 141 255 255 255 0 40 40 0 40 40 10 10 0 10 0 0 1 1 0 60 50 0 150 -200 1 30 20 0 0 0 0 0 0 0 0 0 0 120 120 125 240
25 22 22 144 137 137 25 22 22 144 137 137 255 255 255 16 7 23 24 0 37 255 255 0 5 0 0 1 0 0 200 100 0 1000 100 1 30 20 0 3 3 3 0 0 0 0 0 0 38 38 55 240
22 22 22 163 163 163 22 22 22 163 163 163 255 255 255 9 6 9 18 15 44 255 255 0 5 0 0 1 0 0 200 100 0 1000 200 1 30 20 0 3 3 3 0 0 0 0 0 0 38 38 55 240
